"PUZZLE","CATEGORY","DATE USED"
"BACKYARD BARBEQUE","Event","9/8/08 (#4876)"
"DECORATIVE PILLOWS","Around the House","9/8/08 (#4876)"
"THE GREATEST COUNTRY IN THE WORLD","Place","9/8/08 (#4876)"
"A NEW PASSPORT PHOTO","Thing","9/8/08 (#4876)"
"CURLING IRON MAN","Before & After","9/8/08 (#4876)"
"WESTERN EUROPE","On the Map","9/8/08 (#4876)"
"BEER-BATTERED FISH & CHIPS","Food & Drink","9/8/08 (#4876)"
"TENNIS PARTNERS","People","9/8/08 (#4876)"
"HOT COCOA MIX","Food & Drink","9/8/08 (#4876)"
"ICE CREAM TRUCK","Thing","9/9/08 (#4877)"
"GAINESVILLE FLORIDA","On the Map","9/9/08 (#4877)"
"A TRIP ACROSS THE POND","Phrase","9/9/08 (#4877)"
"FILLING OUT A QUESTIONNAIRE","What Are You Doing?","9/9/08 (#4877)"
"SARAH JESSICA PARKER AS CARRIE BRADSHAW","Star & Role","9/9/08 (#4877)"
"DOMED STADIUM","Place","9/9/08 (#4877)"
"INSURANCE INVESTIGATOR","Occupation","9/9/08 (#4877)"
"STOPWATCH","Thing","9/9/08 (#4877)"
"BUTTERFLY GARDEN","Place","9/10/08 (#4878)"
"LEAN AND MEAN","Rhyme Time","9/10/08 (#4878)"
"BOX OFFICE BLOCKBUSTER","Show Biz","9/10/08 (#4878)"
"LOUNGING POOLSIDE","What Are You Doing?","9/10/08 (#4878)"
"AMERICAN & RHUBARB PIE","Same Name","9/10/08 (#4878)"
"PALM READING","Event","9/10/08 (#4878)"
"VERY ACTIVE IMAGINATION","Thing","9/10/08 (#4878)"
"BIG DREAMS","Things","9/10/08 (#4878)"
"FRESH FRUIT SALAD","Food & Drink","9/11/08 (#4879)"
"THE PANAMA CANAL","Landmark","9/11/08 (#4879)"
"SCIENCE FICTION TELEVISION SERIES","Show Biz","9/11/08 (#4879)"
"BLUE JAY LENO","Before & After","9/11/08 (#4879)"
"FIELDS OF CLOVER","Places","9/11/08 (#4879)"
"ANTIQUE DEALER","Occupation","9/11/08 (#4879)"
"BOTTLE-NOSED DOLPHINS","Living Things","9/11/08 (#4879)"
"LETTER TO THE EDITOR","Thing","9/11/08 (#4879)"
"HISTORY BUFF","Person","9/11/08 (#4879)"
"OUTDOOR CONCERT","Show Biz","9/12/08 (#4880)"
"POTTERY STUDIO","Place","9/12/08 (#4880)"
"CALIFORNIA-NEVADA BORDER","On the Map","9/12/08 (#4880)"
"ANNUAL LIVESTOCK SHOW AND RODEO","Event","9/12/08 (#4880)"
"WONDERS OF NATURE","Things","9/12/08 (#4880)"
"STEP STOOL","Around the House","9/12/08 (#4880)"
"TAKING A TURN FOR THE BETTER","Phrase","9/12/08 (#4880)"
"SECOND COUSINS","People","9/12/08 (#4880)"
"YOU MADE ME BLUSH","Phrase","9/12/08 (#4880)"
"FRONT-ROW SEATS","Things","9/15/08 (#4881)"
"ICE CREAM PARLOR","Place","9/15/08 (#4881)"
"SOAKING IN THE AWESOME SCENERY","What Are You Doing?","9/15/08 (#4881)"
"FINE-CUT CRYSTAL GLASSWARE","Around the House","9/15/08 (#4881)"
"PHOTO FINISH YOUR VEGETABLES","Before & After","9/15/08 (#4881)"
"THE PACIFIC OCEAN","On the Map","9/15/08 (#4881)"
"WE ARE THE CHAMPIONS","Song Title","9/15/08 (#4881)"
"POLICE DRAMA","Show Biz","9/15/08 (#4881)"
"STRETCH LIMOUSINE","Thing","9/16/08 (#4882)"
"MALIBU BEACH CALIFORNIA","On the Map","9/16/08 (#4882)"
"SUPREME & HANDBALL COURT","Same Name","9/16/08 (#4882)"
"RELAXING UNDER THE MIDDAY SUN","What Are You Doing?","9/16/08 (#4882)"
